review_id,review_text,sentiment_label,sentiment_category
REV_00894,Extremely harsh ride every road imperfection sends vibrations directly into the cabin spine.,0,Negative
REV_00693,Extremely harsh ride every road imperfection sends vibrations directly into the cabin spine.,0,Negative
REV_00728,Infotainment has basic features bluetooth works fine but screen brightness is average.,1,Neutral
REV_00363,A/C cooling is ineffective takes over twenty minutes to chill cabin on sunny afternoons.,0,Negative
REV_00597,Touchscreen freezes repeatedly reverse camera fails to display and Bluetooth disconnects.,0,Negative
REV_00428,Infotainment has basic features bluetooth works fine but screen brightness is average.,1,Neutral
REV_00071,Braking bite is acceptable pedal feel is progressive under normal city driving.,1,Neutral
REV_00322,Dealership delivered car on time with flawless customer support and transparent pricing.,2,Positive
REV_00653,Cabin acoustics are okay slight wind noise above 90 kmh but manageable with music.,1,Neutral
REV_01066,Incredible electric acceleration instant torque and regenerative braking works flawlessly.,2,Positive
REV_00108,Poor fit and finish uneven panel gaps water ingress in tail lamp during monsoon rain.,0,Negative
REV_01109,Decent boot space for weekend luggage though three adults in the rear is a bit tight.,1,Neutral
REV_00356,Servicing cost was as quoted in the user manual no surprise charges but nothing special.,1,Neutral
REV_00951,Repeated battery drainage issues breakdown on highway stranded with family zero roadside assist.,0,Negative
REV_00343,Infotainment screen is responsive Apple CarPlay connects seamlessly and audio is crisp.,2,Positive
REV_00355,Super quiet cabin NVH insulation is refined and highway mileage exceeded expectations.,2,Positive
REV_00024,A/C cooling is ineffective takes over twenty minutes to chill cabin on sunny afternoons.,0,Negative
REV_00044,Cabin acoustics are okay slight wind noise above 90 kmh but manageable with music.,1,Neutral
REV_00244,Cruising at triple digits is effortless stability is rock solid and steering is precise.,2,Positive
REV_00738,Poor fit and finish uneven panel gaps water ingress in tail lamp during monsoon rain.,0,Negative
REV_01136,Decent boot space for weekend luggage though three adults in the rear is a bit tight.,1,Neutral
REV_00368,Infotainment has basic features bluetooth works fine but screen brightness is average.,1,Neutral
REV_00164,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_01116,Shocking rattling noises from dashboard within two months and service center was unhelpful.,0,Negative
REV_00333,Worst customer service experience dealership kept car for five days without diagnosing error.,0,Negative
REV_00989,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_01173,Terrible lag in the AMT gearbox jerky gear shifts and constant hesitation when overtaking.,0,Negative
REV_01002,Poor fit and finish uneven panel gaps water ingress in tail lamp during monsoon rain.,0,Negative
REV_00378,Touchscreen freezes repeatedly reverse camera fails to display and Bluetooth disconnects.,0,Negative
REV_00310,Outstanding fuel economy and exceptionally smooth automatic transmission on highway.,2,Positive
REV_00156,Extremely harsh ride every road imperfection sends vibrations directly into the cabin spine.,0,Negative
REV_00211,Tata build quality feels sturdy solid and the 5 star crash safety gives peace of mind.,2,Positive
REV_00087,Shocking rattling noises from dashboard within two months and service center was unhelpful.,0,Negative
REV_00169,Dealership delivered car on time with flawless customer support and transparent pricing.,2,Positive
REV_00995,Decent boot space for weekend luggage though three adults in the rear is a bit tight.,1,Neutral
REV_00052,Outstanding fuel economy and exceptionally smooth automatic transmission on highway.,2,Positive
REV_00439,Infotainment screen is responsive Apple CarPlay connects seamlessly and audio is crisp.,2,Positive
REV_00550,Incredible electric acceleration instant torque and regenerative braking works flawlessly.,2,Positive
REV_00491,Average vehicle performance adequate for daily office commute but lacks highway punch.,1,Neutral
REV_00426,Worst customer service experience dealership kept car for five days without diagnosing error.,0,Negative
REV_00136,Super quiet cabin NVH insulation is refined and highway mileage exceeded expectations.,2,Positive
REV_01192,The ride comfort and suspension absorption on potholes is truly best in class.,2,Positive
REV_00055,Cruising at triple digits is effortless stability is rock solid and steering is precise.,2,Positive
REV_00079,Outstanding fuel economy and exceptionally smooth automatic transmission on highway.,2,Positive
REV_00431,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_00185,The dashboard plastics are decent neither too premium nor terribly cheap.,1,Neutral
REV_00057,Touchscreen freezes repeatedly reverse camera fails to display and Bluetooth disconnects.,0,Negative
REV_00943,Cruising at triple digits is effortless stability is rock solid and steering is precise.,2,Positive
REV_00851,Fuel mileage is around 14 kmpl which is standard for a 1.2 liter petrol engine.,1,Neutral
REV_01164,Shocking rattling noises from dashboard within two months and service center was unhelpful.,0,Negative
REV_00219,Touchscreen freezes repeatedly reverse camera fails to display and Bluetooth disconnects.,0,Negative
REV_00845,The dashboard plastics are decent neither too premium nor terribly cheap.,1,Neutral
REV_00114,Shocking rattling noises from dashboard within two months and service center was unhelpful.,0,Negative
REV_00549,Extremely harsh ride every road imperfection sends vibrations directly into the cabin spine.,0,Negative
REV_01019,Average vehicle performance adequate for daily office commute but lacks highway punch.,1,Neutral
REV_01073,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_00175,Cruising at triple digits is effortless stability is rock solid and steering is precise.,2,Positive
REV_01023,Disastrous mileage barely gives 8 kmpl in city traffic company claims are completely false.,0,Negative
REV_00616,Cruising at triple digits is effortless stability is rock solid and steering is precise.,2,Positive
REV_00514,Infotainment screen is responsive Apple CarPlay connects seamlessly and audio is crisp.,2,Positive
REV_00462,Terrible lag in the AMT gearbox jerky gear shifts and constant hesitation when overtaking.,0,Negative
REV_00287,Fuel mileage is around 14 kmpl which is standard for a 1.2 liter petrol engine.,1,Neutral
REV_00382,Cruising at triple digits is effortless stability is rock solid and steering is precise.,2,Positive
REV_01008,Poor fit and finish uneven panel gaps water ingress in tail lamp during monsoon rain.,0,Negative
REV_00671,The dashboard plastics are decent neither too premium nor terribly cheap.,1,Neutral
REV_00535,Dealership delivered car on time with flawless customer support and transparent pricing.,2,Positive
REV_00910,Tata build quality feels sturdy solid and the 5 star crash safety gives peace of mind.,2,Positive
REV_00293,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_00124,Dealership delivered car on time with flawless customer support and transparent pricing.,2,Positive
REV_00583,Outstanding fuel economy and exceptionally smooth automatic transmission on highway.,2,Positive
REV_00141,Worst customer service experience dealership kept car for five days without diagnosing error.,0,Negative
REV_00736,Dealership delivered car on time with flawless customer support and transparent pricing.,2,Positive
REV_00082,Best car in the compact SUV segment superb ground clearance and commanding road presence.,2,Positive
REV_00882,A/C cooling is ineffective takes over twenty minutes to chill cabin on sunny afternoons.,0,Negative
REV_00740,Braking bite is acceptable pedal feel is progressive under normal city driving.,1,Neutral
REV_01102,Tata build quality feels sturdy solid and the 5 star crash safety gives peace of mind.,2,Positive
REV_00909,Shocking rattling noises from dashboard within two months and service center was unhelpful.,0,Negative
REV_01167,A/C cooling is ineffective takes over twenty minutes to chill cabin on sunny afternoons.,0,Negative
REV_00937,Best car in the compact SUV segment superb ground clearance and commanding road presence.,2,Positive
REV_00372,A/C cooling is ineffective takes over twenty minutes to chill cabin on sunny afternoons.,0,Negative
REV_00890,Braking bite is acceptable pedal feel is progressive under normal city driving.,1,Neutral
REV_00157,Outstanding fuel economy and exceptionally smooth automatic transmission on highway.,2,Positive
REV_00992,Servicing cost was as quoted in the user manual no surprise charges but nothing special.,1,Neutral
REV_00622,Spacious cabin excellent legroom and the ventilated leather seats are fantastic.,2,Positive
REV_01038,Steering feels dead vague centering and excessive body roll when cornering at speed.,0,Negative
REV_00245,Servicing cost was as quoted in the user manual no surprise charges but nothing special.,1,Neutral
REV_00159,Worst customer service experience dealership kept car for five days without diagnosing error.,0,Negative
REV_00746,Fuel mileage is around 14 kmpl which is standard for a 1.2 liter petrol engine.,1,Neutral
REV_00193,Cruising at triple digits is effortless stability is rock solid and steering is precise.,2,Positive
REV_00534,Shocking rattling noises from dashboard within two months and service center was unhelpful.,0,Negative
REV_00904,The ride comfort and suspension absorption on potholes is truly best in class.,2,Positive
REV_01004,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_01070,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_00414,Terrible lag in the AMT gearbox jerky gear shifts and constant hesitation when overtaking.,0,Negative
REV_01187,Styling is conventional blend in with traffic neither striking nor ugly.,1,Neutral
REV_00328,Cruising at triple digits is effortless stability is rock solid and steering is precise.,2,Positive
REV_00129,Repeated battery drainage issues breakdown on highway stranded with family zero roadside assist.,0,Negative
REV_00695,Average vehicle performance adequate for daily office commute but lacks highway punch.,1,Neutral
REV_00631,Tata build quality feels sturdy solid and the 5 star crash safety gives peace of mind.,2,Positive
REV_00275,The dashboard plastics are decent neither too premium nor terribly cheap.,1,Neutral
REV_01148,Fuel mileage is around 14 kmpl which is standard for a 1.2 liter petrol engine.,1,Neutral
REV_00309,Repeated battery drainage issues breakdown on highway stranded with family zero roadside assist.,0,Negative
REV_00234,Terrible lag in the AMT gearbox jerky gear shifts and constant hesitation when overtaking.,0,Negative
REV_01048,Dealership delivered car on time with flawless customer support and transparent pricing.,2,Positive
REV_00623,Average vehicle performance adequate for daily office commute but lacks highway punch.,1,Neutral
REV_00644,Fuel mileage is around 14 kmpl which is standard for a 1.2 liter petrol engine.,1,Neutral
REV_00479,Infotainment has basic features bluetooth works fine but screen brightness is average.,1,Neutral
REV_00472,Infotainment screen is responsive Apple CarPlay connects seamlessly and audio is crisp.,2,Positive
REV_00926,Cabin acoustics are okay slight wind noise above 90 kmh but manageable with music.,1,Neutral
REV_01098,Terrible lag in the AMT gearbox jerky gear shifts and constant hesitation when overtaking.,0,Negative
REV_00627,Disastrous mileage barely gives 8 kmpl in city traffic company claims are completely false.,0,Negative
REV_00395,Styling is conventional blend in with traffic neither striking nor ugly.,1,Neutral
REV_00637,The ride comfort and suspension absorption on potholes is truly best in class.,2,Positive
REV_00768,A/C cooling is ineffective takes over twenty minutes to chill cabin on sunny afternoons.,0,Negative
REV_00533,Infotainment has basic features bluetooth works fine but screen brightness is average.,1,Neutral
REV_00718,Outstanding fuel economy and exceptionally smooth automatic transmission on highway.,2,Positive
REV_00667,Incredible electric acceleration instant torque and regenerative braking works flawlessly.,2,Positive
REV_00598,Best car in the compact SUV segment superb ground clearance and commanding road presence.,2,Positive
REV_00482,Styling is conventional blend in with traffic neither striking nor ugly.,1,Neutral
REV_01103,Styling is conventional blend in with traffic neither striking nor ugly.,1,Neutral
REV_00315,A/C cooling is ineffective takes over twenty minutes to chill cabin on sunny afternoons.,0,Negative
REV_00729,Touchscreen freezes repeatedly reverse camera fails to display and Bluetooth disconnects.,0,Negative
REV_00210,Shocking rattling noises from dashboard within two months and service center was unhelpful.,0,Negative
REV_00934,Outstanding fuel economy and exceptionally smooth automatic transmission on highway.,2,Positive
REV_00434,The dashboard plastics are decent neither too premium nor terribly cheap.,1,Neutral
REV_00329,Average vehicle performance adequate for daily office commute but lacks highway punch.,1,Neutral
REV_00261,Touchscreen freezes repeatedly reverse camera fails to display and Bluetooth disconnects.,0,Negative
REV_01117,Cruising at triple digits is effortless stability is rock solid and steering is precise.,2,Positive
REV_00307,Infotainment screen is responsive Apple CarPlay connects seamlessly and audio is crisp.,2,Positive
REV_01067,Average vehicle performance adequate for daily office commute but lacks highway punch.,1,Neutral
REV_00928,Cruising at triple digits is effortless stability is rock solid and steering is precise.,2,Positive
REV_01025,Decent boot space for weekend luggage though three adults in the rear is a bit tight.,1,Neutral
REV_00271,Infotainment screen is responsive Apple CarPlay connects seamlessly and audio is crisp.,2,Positive
REV_00291,Extremely harsh ride every road imperfection sends vibrations directly into the cabin spine.,0,Negative
REV_00813,Touchscreen freezes repeatedly reverse camera fails to display and Bluetooth disconnects.,0,Negative
REV_00097,Best car in the compact SUV segment superb ground clearance and commanding road presence.,2,Positive
REV_00888,Worst customer service experience dealership kept car for five days without diagnosing error.,0,Negative
REV_00819,Terrible lag in the AMT gearbox jerky gear shifts and constant hesitation when overtaking.,0,Negative
REV_00032,The dashboard plastics are decent neither too premium nor terribly cheap.,1,Neutral
REV_00763,Super quiet cabin NVH insulation is refined and highway mileage exceeded expectations.,2,Positive
REV_00954,Worst customer service experience dealership kept car for five days without diagnosing error.,0,Negative
REV_00320,Fuel mileage is around 14 kmpl which is standard for a 1.2 liter petrol engine.,1,Neutral
REV_00299,The dashboard plastics are decent neither too premium nor terribly cheap.,1,Neutral
REV_00200,Servicing cost was as quoted in the user manual no surprise charges but nothing special.,1,Neutral
REV_00561,Disastrous mileage barely gives 8 kmpl in city traffic company claims are completely false.,0,Negative
REV_00179,Fuel mileage is around 14 kmpl which is standard for a 1.2 liter petrol engine.,1,Neutral
REV_01132,Infotainment screen is responsive Apple CarPlay connects seamlessly and audio is crisp.,2,Positive
REV_00089,Braking bite is acceptable pedal feel is progressive under normal city driving.,1,Neutral
REV_00788,The dashboard plastics are decent neither too premium nor terribly cheap.,1,Neutral
REV_00725,Average vehicle performance adequate for daily office commute but lacks highway punch.,1,Neutral
REV_00827,Fuel mileage is around 14 kmpl which is standard for a 1.2 liter petrol engine.,1,Neutral
REV_00209,Styling is conventional blend in with traffic neither striking nor ugly.,1,Neutral
REV_01040,Styling is conventional blend in with traffic neither striking nor ugly.,1,Neutral
REV_00297,Extremely harsh ride every road imperfection sends vibrations directly into the cabin spine.,0,Negative
REV_00998,Braking bite is acceptable pedal feel is progressive under normal city driving.,1,Neutral
REV_00498,Repeated battery drainage issues breakdown on highway stranded with family zero roadside assist.,0,Negative
REV_00835,Incredible electric acceleration instant torque and regenerative braking works flawlessly.,2,Positive
REV_00430,The ride comfort and suspension absorption on potholes is truly best in class.,2,Positive
REV_00507,Shocking rattling noises from dashboard within two months and service center was unhelpful.,0,Negative
REV_00831,Steering feels dead vague centering and excessive body roll when cornering at speed.,0,Negative
REV_00694,Best car in the compact SUV segment superb ground clearance and commanding road presence.,2,Positive
REV_00011,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_00848,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_00463,Super quiet cabin NVH insulation is refined and highway mileage exceeded expectations.,2,Positive
REV_00199,The ride comfort and suspension absorption on potholes is truly best in class.,2,Positive
REV_00060,Worst customer service experience dealership kept car for five days without diagnosing error.,0,Negative
REV_00907,Best car in the compact SUV segment superb ground clearance and commanding road presence.,2,Positive
REV_00997,Super quiet cabin NVH insulation is refined and highway mileage exceeded expectations.,2,Positive
REV_00276,Terrible lag in the AMT gearbox jerky gear shifts and constant hesitation when overtaking.,0,Negative
REV_00809,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_00908,Fuel mileage is around 14 kmpl which is standard for a 1.2 liter petrol engine.,1,Neutral
REV_00658,Spacious cabin excellent legroom and the ventilated leather seats are fantastic.,2,Positive
REV_00957,Disastrous mileage barely gives 8 kmpl in city traffic company claims are completely false.,0,Negative
REV_00886,Incredible electric acceleration instant torque and regenerative braking works flawlessly.,2,Positive
REV_00221,Average vehicle performance adequate for daily office commute but lacks highway punch.,1,Neutral
REV_00789,Repeated battery drainage issues breakdown on highway stranded with family zero roadside assist.,0,Negative
REV_00712,Spacious cabin excellent legroom and the ventilated leather seats are fantastic.,2,Positive
REV_00714,Poor fit and finish uneven panel gaps water ingress in tail lamp during monsoon rain.,0,Negative
REV_01113,Terrible lag in the AMT gearbox jerky gear shifts and constant hesitation when overtaking.,0,Negative
REV_01191,A/C cooling is ineffective takes over twenty minutes to chill cabin on sunny afternoons.,0,Negative
REV_00790,The ride comfort and suspension absorption on potholes is truly best in class.,2,Positive
REV_00416,Infotainment has basic features bluetooth works fine but screen brightness is average.,1,Neutral
REV_00899,Servicing cost was as quoted in the user manual no surprise charges but nothing special.,1,Neutral
REV_00935,Decent boot space for weekend luggage though three adults in the rear is a bit tight.,1,Neutral
REV_00266,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_00632,Infotainment has basic features bluetooth works fine but screen brightness is average.,1,Neutral
REV_00248,Braking bite is acceptable pedal feel is progressive under normal city driving.,1,Neutral
REV_00683,Decent boot space for weekend luggage though three adults in the rear is a bit tight.,1,Neutral
REV_00559,Best car in the compact SUV segment superb ground clearance and commanding road presence.,2,Positive
REV_01137,Touchscreen freezes repeatedly reverse camera fails to display and Bluetooth disconnects.,0,Negative
REV_00968,Fuel mileage is around 14 kmpl which is standard for a 1.2 liter petrol engine.,1,Neutral
REV_01005,Extremely harsh ride every road imperfection sends vibrations directly into the cabin spine.,0,Negative
REV_00985,Infotainment screen is responsive Apple CarPlay connects seamlessly and audio is crisp.,2,Positive
REV_00295,Outstanding fuel economy and exceptionally smooth automatic transmission on highway.,2,Positive
REV_00520,Best car in the compact SUV segment superb ground clearance and commanding road presence.,2,Positive
REV_00771,Worst customer service experience dealership kept car for five days without diagnosing error.,0,Negative
REV_00084,Terrible lag in the AMT gearbox jerky gear shifts and constant hesitation when overtaking.,0,Negative
REV_00232,Outstanding fuel economy and exceptionally smooth automatic transmission on highway.,2,Positive
REV_00621,Disastrous mileage barely gives 8 kmpl in city traffic company claims are completely false.,0,Negative
REV_00334,Dealership delivered car on time with flawless customer support and transparent pricing.,2,Positive
REV_00130,Dealership delivered car on time with flawless customer support and transparent pricing.,2,Positive
REV_01012,Best car in the compact SUV segment superb ground clearance and commanding road presence.,2,Positive
REV_00645,Terrible lag in the AMT gearbox jerky gear shifts and constant hesitation when overtaking.,0,Negative
REV_00974,Servicing cost was as quoted in the user manual no surprise charges but nothing special.,1,Neutral
REV_00383,The dashboard plastics are decent neither too premium nor terribly cheap.,1,Neutral
REV_00868,Spacious cabin excellent legroom and the ventilated leather seats are fantastic.,2,Positive
REV_00543,Poor fit and finish uneven panel gaps water ingress in tail lamp during monsoon rain.,0,Negative
REV_01194,Worst customer service experience dealership kept car for five days without diagnosing error.,0,Negative
REV_00875,Average vehicle performance adequate for daily office commute but lacks highway punch.,1,Neutral
REV_00332,Decent boot space for weekend luggage though three adults in the rear is a bit tight.,1,Neutral
REV_00410,Infotainment has basic features bluetooth works fine but screen brightness is average.,1,Neutral
REV_00077,Cabin acoustics are okay slight wind noise above 90 kmh but manageable with music.,1,Neutral
REV_00869,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_00139,Spacious cabin excellent legroom and the ventilated leather seats are fantastic.,2,Positive
REV_00544,Super quiet cabin NVH insulation is refined and highway mileage exceeded expectations.,2,Positive
REV_00674,Cabin acoustics are okay slight wind noise above 90 kmh but manageable with music.,1,Neutral
REV_00921,Shocking rattling noises from dashboard within two months and service center was unhelpful.,0,Negative
REV_00064,Super quiet cabin NVH insulation is refined and highway mileage exceeded expectations.,2,Positive
REV_00142,Dealership delivered car on time with flawless customer support and transparent pricing.,2,Positive
REV_00717,Shocking rattling noises from dashboard within two months and service center was unhelpful.,0,Negative
REV_00377,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_00364,Spacious cabin excellent legroom and the ventilated leather seats are fantastic.,2,Positive
REV_00140,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_00885,Worst customer service experience dealership kept car for five days without diagnosing error.,0,Negative
REV_01042,Tata build quality feels sturdy solid and the 5 star crash safety gives peace of mind.,2,Positive
REV_00225,Repeated battery drainage issues breakdown on highway stranded with family zero roadside assist.,0,Negative
REV_00515,The dashboard plastics are decent neither too premium nor terribly cheap.,1,Neutral
REV_00267,Terrible lag in the AMT gearbox jerky gear shifts and constant hesitation when overtaking.,0,Negative
REV_01170,Worst customer service experience dealership kept car for five days without diagnosing error.,0,Negative
REV_00487,Outstanding fuel economy and exceptionally smooth automatic transmission on highway.,2,Positive
REV_00353,The dashboard plastics are decent neither too premium nor terribly cheap.,1,Neutral
REV_01006,Cruising at triple digits is effortless stability is rock solid and steering is precise.,2,Positive
REV_00618,Touchscreen freezes repeatedly reverse camera fails to display and Bluetooth disconnects.,0,Negative
REV_00668,Infotainment has basic features bluetooth works fine but screen brightness is average.,1,Neutral
REV_00775,Outstanding fuel economy and exceptionally smooth automatic transmission on highway.,2,Positive
REV_00554,Average vehicle performance adequate for daily office commute but lacks highway punch.,1,Neutral
REV_00576,Repeated battery drainage issues breakdown on highway stranded with family zero roadside assist.,0,Negative
REV_00915,Steering feels dead vague centering and excessive body roll when cornering at speed.,0,Negative
REV_00466,Super quiet cabin NVH insulation is refined and highway mileage exceeded expectations.,2,Positive
REV_00591,Extremely harsh ride every road imperfection sends vibrations directly into the cabin spine.,0,Negative
REV_00765,Worst customer service experience dealership kept car for five days without diagnosing error.,0,Negative
REV_00635,Styling is conventional blend in with traffic neither striking nor ugly.,1,Neutral
REV_00838,Dealership delivered car on time with flawless customer support and transparent pricing.,2,Positive
REV_00290,Average vehicle performance adequate for daily office commute but lacks highway punch.,1,Neutral
REV_00040,Infotainment screen is responsive Apple CarPlay connects seamlessly and audio is crisp.,2,Positive
REV_00031,Best car in the compact SUV segment superb ground clearance and commanding road presence.,2,Positive
REV_00243,Disastrous mileage barely gives 8 kmpl in city traffic company claims are completely false.,0,Negative
REV_00429,Disastrous mileage barely gives 8 kmpl in city traffic company claims are completely false.,0,Negative
REV_00137,Cabin acoustics are okay slight wind noise above 90 kmh but manageable with music.,1,Neutral
REV_01101,Repeated battery drainage issues breakdown on highway stranded with family zero roadside assist.,0,Negative
REV_00865,Incredible electric acceleration instant torque and regenerative braking works flawlessly.,2,Positive
REV_00004,Incredible electric acceleration instant torque and regenerative braking works flawlessly.,2,Positive
REV_00833,Infotainment has basic features bluetooth works fine but screen brightness is average.,1,Neutral
REV_00603,A/C cooling is ineffective takes over twenty minutes to chill cabin on sunny afternoons.,0,Negative
REV_01034,Infotainment has basic features bluetooth works fine but screen brightness is average.,1,Neutral
REV_00655,Outstanding fuel economy and exceptionally smooth automatic transmission on highway.,2,Positive
REV_00844,Tata build quality feels sturdy solid and the 5 star crash safety gives peace of mind.,2,Positive
REV_00784,Super quiet cabin NVH insulation is refined and highway mileage exceeded expectations.,2,Positive
REV_01074,A/C cooling is ineffective takes over twenty minutes to chill cabin on sunny afternoons.,0,Negative
REV_00443,Average vehicle performance adequate for daily office commute but lacks highway punch.,1,Neutral
REV_01178,Braking bite is acceptable pedal feel is progressive under normal city driving.,1,Neutral
REV_00436,Outstanding fuel economy and exceptionally smooth automatic transmission on highway.,2,Positive
REV_01169,Average vehicle performance adequate for daily office commute but lacks highway punch.,1,Neutral
REV_00101,Fuel mileage is around 14 kmpl which is standard for a 1.2 liter petrol engine.,1,Neutral
REV_00773,Average vehicle performance adequate for daily office commute but lacks highway punch.,1,Neutral
REV_00495,Extremely harsh ride every road imperfection sends vibrations directly into the cabin spine.,0,Negative
REV_01028,Servicing cost was as quoted in the user manual no surprise charges but nothing special.,1,Neutral
REV_00807,Disastrous mileage barely gives 8 kmpl in city traffic company claims are completely false.,0,Negative
REV_01142,Decent boot space for weekend luggage though three adults in the rear is a bit tight.,1,Neutral
REV_00846,Poor fit and finish uneven panel gaps water ingress in tail lamp during monsoon rain.,0,Negative
REV_00987,Worst customer service experience dealership kept car for five days without diagnosing error.,0,Negative
REV_00228,Repeated battery drainage issues breakdown on highway stranded with family zero roadside assist.,0,Negative
REV_01193,Infotainment has basic features bluetooth works fine but screen brightness is average.,1,Neutral
REV_00672,Terrible lag in the AMT gearbox jerky gear shifts and constant hesitation when overtaking.,0,Negative
REV_00859,Tata build quality feels sturdy solid and the 5 star crash safety gives peace of mind.,2,Positive
REV_00925,Super quiet cabin NVH insulation is refined and highway mileage exceeded expectations.,2,Positive
REV_00067,Infotainment screen is responsive Apple CarPlay connects seamlessly and audio is crisp.,2,Positive
REV_00068,Braking bite is acceptable pedal feel is progressive under normal city driving.,1,Neutral
REV_00817,Cruising at triple digits is effortless stability is rock solid and steering is precise.,2,Positive
REV_00212,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_00013,Cruising at triple digits is effortless stability is rock solid and steering is precise.,2,Positive
REV_00494,Decent boot space for weekend luggage though three adults in the rear is a bit tight.,1,Neutral
REV_01165,Infotainment screen is responsive Apple CarPlay connects seamlessly and audio is crisp.,2,Positive
REV_00300,Steering feels dead vague centering and excessive body roll when cornering at speed.,0,Negative
REV_00411,A/C cooling is ineffective takes over twenty minutes to chill cabin on sunny afternoons.,0,Negative
REV_00757,Outstanding fuel economy and exceptionally smooth automatic transmission on highway.,2,Positive
REV_01075,Spacious cabin excellent legroom and the ventilated leather seats are fantastic.,2,Positive
REV_00696,Repeated battery drainage issues breakdown on highway stranded with family zero roadside assist.,0,Negative
REV_01151,Suspension is slightly stiff over bumps but handles straight highway roads decently.,1,Neutral
REV_00724,Super quiet cabin NVH insulation is refined and highway mileage exceeded expectations.,2,Positive
REV_01016,Cabin acoustics are okay slight wind noise above 90 kmh but manageable with music.,1,Neutral
REV_00528,Extremely harsh ride every road imperfection sends vibrations directly into the cabin spine.,0,Negative
REV_00600,Terrible lag in the AMT gearbox jerky gear shifts and constant hesitation when overtaking.,0,Negative
REV_01120,Spacious cabin excellent legroom and the ventilated leather seats are fantastic.,2,Positive
REV_00567,Worst customer service experience dealership kept car for five days without diagnosing error.,0,Negative
REV_00731,Infotainment has basic features bluetooth works fine but screen brightness is average.,1,Neutral
REV_00274,Dealership delivered car on time with flawless customer support and transparent pricing.,2,Positive
